Africâner	af
Albanês	sq
Amárico	am
Árabe	ar
Armênio	hy
Assamês	as
Aymara	ay
Azerbaijano	az
Bambara	bm
Basco	eu
Bielorrusso	be
Bengalês	bn
Boiapuri	bho
Bósnio	bs
Búlgaro	bg
Catalão	ca
Cebuano	ceb
Chinês (simplificado)	zh-CN ou zh (BCP-47)
Chinês (tradicional)	zh-TW (BCP-47)
Córsico	co
Croata	hr
Tcheco	cs
Coreano	da
Divehi	dv
Dogri	doi
Holandês	nl
Inglês	en
Esperanto	eo
Estoniano	et
Ewe	ee
Filipino (Tagalog)	fil
Finlandês	fi
Francês	fr
Frísio	fy
Galego	gl
Georgiano	ka
Alemão	de
Grego	el
Guarani	gn
Gujarati	gu
Crioulo haitiano	ht
Hauçá	ha
Havaiano	haw
Hebraico	he ou iw
Hindi	hi
Hmong	hmn
Húngaro	hu
Islandês	is
Igbo	ig
Ilocano	ilo
Indonésio	id
Irlandês	ga
Italian	it
Japonês	ja
Javanês	jv ou jw
Canarês	kn
Cazaque	kk
Cmer	km
Quiniaruanda	rw
Concani	gom
Coreano	ko
Krio	kri
Curdo	ku
Curdo (Sorani)	ckb
Quirguiz	ky
Laosiano	lo
Latim	la
Letão	lv
Lingala	ln
Lituano	lt
Luganda	lg
Luxemburguês	lb
Macedônio	mk
Maithili	mai
Malgaxe	mg
Malaio	ms
Malaiala	ml
Maltês	mt
Maori	mi
Marata	mr
Meiteilon (Manipuri)	mni-Mtei
Mizo	lus
Mongol	mn
Myanmar (birmanês)	my
Nepalês	ne
Norueguês	no
Nianja (Chichewa)	ny
Oriá	or
Oromo	om
Pashto	ps
Persa	fa
Polonês	pl
Português (Portugal, Brasil)	pt
Punjabi	pa
Quíchua	qu
Romeno	ro
Russo	ru
Samoano	sm
Sânscrito	sa
Escocês gaélico	gd
Sepedi	nso
Sérvio	sr
Sesoto	st
Xona	sn
Sindi	sd
Sinhala (cingalês)	si
Eslovaco	sk
Esloveno	sl
Somali	so
Espanhol	es
Sundanês	su
Suaíli	sw
Sueco	sv
Tagalo (filipino)	tl
Tajique	tg
Tâmil	ta
Tártaro	tt
Telugu	te
Tailandês	th
Tigrínia	ti
Tsonga	ts
Turco	tr
Turcomano	tk
Twi (Akan)	ak
Ucraniano	uk
Urdu	ur
Uyghur	ug
Usbeque	uz
Vietnamita	vi
Galês	cy
Xosa	xh
Ídiche	yi
Iorubá	yo
Zulu	zu
